scraping_date,scraping_time,floorplan_name,bedroom,bathroom,squareFootage,rent_min,rent_max,move_in_month,move_in_day,move_in_year
2022/05/20,10,a3_e,1,1,800,1276,1578,5,31,2022
2022/05/20,10,a3_p,1,1,800,1281,1624,5,31,2022
2022/05/20,10,a2_p,1,1,700,1317,1553,5,31,2022
2022/05/20,10,b1dh,2,1,980,1371,1900,5,31,2022
2022/05/20,10,b1dh_e,2,1,980,1389,1925,5,31,2022
2022/05/20,10,bt_e,2,1100,1522,1914,5,31,2022
2022/05/20,10,b2dh_p,2,1000,1530,1876,5,31,2022
2022/05/20,10,b3,2,2,980,1687,2149,5,31,2022
2022/05/20,10,b5,2,2,980,1733,2204,5,31,2022
2022/05/20,10,b4,2,2,1000,2001,2423,5,31,2022
2022/05/20,10,ct_e,3,1350,2038,2956,5,31,2022
2022/05/20,10,a3,1,1,800,1262,1765,6,1,2022
2022/05/20,10,a3_e,1,1,800,1276,1578,6,1,2022
2022/05/20,10,a3_p,1,1,800,1281,1624,6,1,2022
2022/05/20,10,a2_p,1,1,700,1317,1553,6,1,2022
2022/05/20,10,b1dh,2,1,980,1371,1900,6,1,2022
2022/05/20,10,b1dh_e,2,1,980,1392,1925,6,1,2022
2022/05/20,10,bt_e,2,1100,1522,1914,6,1,2022
2022/05/20,10,b2dh_p,2,1000,1530,1876,6,1,2022
2022/05/20,10,b3,2,2,980,1687,2149,6,1,2022
2022/05/20,10,b5,2,2,980,1733,2204,6,1,2022
2022/05/20,10,b4,2,2,1000,2001,2423,6,1,2022
2022/05/20,10,ct_e,3,1350,2044,2970,6,1,2022
2022/05/20,10,a3,1,1,800,1262,1765,6,2,2022
2022/05/20,10,a3_e,1,1,800,1276,1578,6,2,2022
2022/05/20,10,a3_p,1,1,800,1281,1624,6,2,2022
2022/05/20,10,a2_p,1,1,700,1317,1553,6,2,2022
2022/05/20,10,b1dh,2,1,980,1371,1900,6,2,2022
2022/05/20,10,b1dh_e,2,1,980,1396,1925,6,2,2022
2022/05/20,10,bt_e,2,1100,1522,1914,6,2,2022
2022/05/20,10,b2dh_p,2,1000,1530,1876,6,2,2022
2022/05/20,10,b3,2,2,980,1687,2149,6,2,2022
2022/05/20,10,b5,2,2,980,1733,2204,6,2,2022
2022/05/20,10,b4,2,2,1000,2001,2423,6,2,2022
2022/05/20,10,ct_e,3,1350,2049,2984,6,2,2022
