scraping_date,scraping_time,floorplan_name,bedroom,bathroom,apartment_number,rent_min,rent_max,move_in_month,move_in_day,move_in_year
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,16,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,16,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,17,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,17,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,17,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,18,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,18,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,18,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,19,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,19,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,19,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,20,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,20,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,20,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,21,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,21,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,21,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,22,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,22,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,22,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,23,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,23,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,23,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,24,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,24,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,24,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,25,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,26,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,27,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,28,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,29,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,30,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,7,1,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,9,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,10,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,11,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,12,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,13,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1905,1905,7,14,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,14,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1905,1905,7,15,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,15,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1905,1905,7,16,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,16,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1905,1905,7,17,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,17,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1905,1905,7,18,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,18,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,7,18,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1905,1905,7,19,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,19,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,7,19,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1905,1905,7,20,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,20,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,7,20,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1905,7,21,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,21,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,7,21,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1905,7,22,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,22,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,7,22,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1905,7,23,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,23,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,7,23,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1905,7,24,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,24,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,7,24,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1905,7,25,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,25,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,7,25,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1905,7,26,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,26,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,7,26,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1905,7,27,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,27,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,7,27,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1905,7,28,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,28,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,7,28,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1905,7,29,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2070,2070,7,29,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,7,29,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1905,7,30,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,7,30,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1905,7,31,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,7,31,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1905,8,1,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,8,1,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1905,8,2,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,8,2,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1905,8,3,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,8,3,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,8,4,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,8,4,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,8,5,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,8,5,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,8,6,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,8,6,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,8,7,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,8,7,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,8,8,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,8,9,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,8,10,2022
2022/05/19,15,Hampton Classic II,1,1,720,1510,1515,5,19,2022
2022/05/19,15,Hampton Deluxe,1,1,720,1630,1645,5,19,2022
2022/05/19,15,Fillmore Classic II,1,1,1040,1640,1680,5,19,2022
